classe,assunto,vara,foro,juiz,data_inicio_processo,data_fim_processo,sentenca,acolhido,recurso,texto_sentenca
Trabalhista,Acidente de Trabalho,1ª Vara do Trabalho de São Paulo,TRT 2ª Região,Juiz João Silva,2022-01-01,2022-08-01,Procedente,SIM,NÃO,O juiz Juiz João Silva julgou procedente o processo de acidente de trabalho na vara 1ª Vara do Trabalho de São Paulo do foro TRT 2ª Região.
Cível,Contrato de Aluguel,1ª Vara Cível de Belo Horizonte,TJMG,Juiz Maria Santos,2022-02-15,2022-10-15,Improcedente,NÃO,SIM,O juiz Juiz Maria Santos julgou improcedente o processo de contrato de aluguel na vara 1ª Vara Cível de Belo Horizonte do foro TJMG.
Criminal,Tráfico de Drogas,2ª Vara Criminal de Curitiba,TJPR,Juiz Paulo Souza,2022-03-20,2022-11-20,Procedente,SIM,NÃO,O juiz Juiz Paulo Souza julgou procedente o processo de tráfico de drogas na vara 2ª Vara Criminal de Curitiba do foro TJPR.
Trabalhista,Rescisão Indireta,3ª Vara do Trabalho de Brasília,TRT 10ª Região,Juiz Ana Oliveira,2022-04-30,2022-12-30,Improcedente,NÃO,SIM,O juiz Juiz Ana Oliveira julgou improcedente o processo de rescisão indireta na vara 3ª Vara do Trabalho de Brasília do foro TRT 10ª Região.
Cível,Divórcio Litigioso,2ª Vara de Família de São Paulo,TJSP,Juiz Carlos Dias,2022-05-10,2023-01-10,Procedente,SIM,NÃO,O juiz Juiz Carlos Dias julgou procedente o processo de divórcio litigioso na vara 2ª Vara de Família de São Paulo do foro TJSP.
Criminal,Homicídio,1ª Vara Criminal de Porto Alegre,TJRS,Juiz Laura Pereira,2022-06-15,2023-02-15,Procedente,SIM,NÃO,O juiz Juiz Laura Pereira julgou procedente o processo de homicídio na vara 1ª Vara Criminal de Porto Alegre do foro TJRS.
Trabalhista,Assédio Moral,2ª Vara do Trabalho de Salvador,TRT 5ª Região,Juiz André Santos,2022-07-20,2023-03-20,Improcedente,NÃO,SIM,O juiz Juiz André Santos julgou improcedente o processo de assédio moral na vara 2ª Vara do Trabalho de Salvador do foro TRT 5ª Região.
Cível,Indenização por Danos Morais,1ª Vara Cível de Recife,TJPE,Juiz Ana Silva,2022-08-30,2023-04-30,Procedente,SIM,NÃO,O juiz Juiz Ana Silva julgou procedente o processo de indenização por danos morais na vara 1ª Vara Cível de Recife do foro TJPE.
Criminal,Estupro,2ª Vara Criminal de Fortaleza,TJCE,Juiz Pedro Lima,2022-09-10,2023-05-10,Procedente,SIM,NÃO,O juiz Juiz Pedro Lima julgou procedente o processo de estupro na vara 2ª Vara Criminal de Fortaleza do foro TJCE.
Cível,Indenização por Danos Materiais,2ª Vara Cível de Brasília,TJDFT,Juiz Juliana Martins,2022-10-15,2023-04-15,Improcedente,NÃO,SIM,O juiz Juiz Juliana Martins julgou improcedente o processo de indenização por danos materiais na vara 2ª Vara Cível de Brasília do foro TJDFT.
Trabalhista,Reintegração de Posse,3ª Vara do Trabalho de Campinas,TRT 15ª Região,Juiz Marcos Oliveira,2022-11-20,2023-05-20,Procedente,SIM,NÃO,O juiz Juiz Marcos Oliveira julgou procedente o processo de reintegração de posse na vara 3ª Vara do Trabalho de Campinas do foro TRT 15ª Região.
Criminal,Tráfico de Armas,1ª Vara Criminal de Belo Horizonte,TJMG,Juiz Fernando Souza,2022-12-30,2023-06-30,Procedente,SIM,NÃO,O juiz Juiz Fernando Souza julgou procedente o processo de tráfico de armas na vara 1ª Vara Criminal de Belo Horizonte do foro TJMG.
Cível,Execução de Título Extrajudicial,2ª Vara Cível de Curitiba,TJPR,Juiz Carla Rodrigues,2023-01-10,2023-07-10,Procedente,SIM,NÃO,O juiz Juiz Carla Rodrigues julgou procedente o processo de execução de título extrajudicial na vara 2ª Vara Cível de Curitiba do foro TJPR.
Trabalhista,Acidente de Trabalho,1ª Vara do Trabalho de Fortaleza,TRT 7ª Região,Juiz João Pereira,2023-02-15,2023-08-15,Procedente,SIM,NÃO,O juiz Juiz João Pereira julgou procedente o processo de acidente de trabalho na vara 1ª Vara do Trabalho de Fortaleza do foro TRT 7ª Região.
Criminal,Lavagem de Dinheiro,3ª Vara Criminal de Recife,TJPE,Juiz Ana Santos,2023-03-20,2023-09-20,Procedente,SIM,NÃO,O juiz Juiz Ana Santos julgou procedente o processo de lavagem de dinheiro na vara 3ª Vara Criminal de Recife do foro TJPE.
Cível,Revisão Contratual,1ª Vara Cível de São Paulo,TJSP,Juiz Gustavo Almeida,2023-04-30,2023-10-30,Improcedente,NÃO,SIM,O juiz Juiz Gustavo Almeida julgou improcedente o processo de revisão contratual na vara 1ª Vara Cível de São Paulo do foro TJSP.
Trabalhista,Assédio Sexual,2ª Vara do Trabalho de Belo Horizonte,TRT 3ª Região,Juiz Paulo Oliveira,2023-05-10,2023-11-10,Procedente,SIM,NÃO,O juiz Juiz Paulo Oliveira julgou procedente o processo de assédio sexual na vara 2ª Vara do Trabalho de Belo Horizonte do foro TRT 3ª Região.
Criminal,Roubo,1ª Vara Criminal de Salvador,TJBA,Juiz Marcela Silva,2023-06-15,2023-12-15,Procedente,SIM,NÃO,O juiz Juiz Marcela Silva julgou procedente o processo de roubo na vara 1ª Vara Criminal de Salvador do foro TJBA.
Cível,Divórcio Consensual,2ª Vara de Família de Belo Horizonte,TJMG,Juiz Carla Oliveira,2023-07-20,2024-01-20,Procedente,SIM,NÃO,O juiz Juiz Carla Oliveira julgou procedente o processo de divórcio consensual na vara 2ª Vara de Família de Belo Horizonte do foro TJMG.
Trabalhista,Rescisão Indireta,3ª Vara do Trabalho de Fortaleza,TRT 7ª Região,Juiz Roberto Santos,2023-08-30,2024-02-28,Improcedente,NÃO,SIM,O juiz Juiz Roberto Santos julgou improcedente o processo de rescisão indireta na vara 3ª Vara do Trabalho de Fortaleza do foro TRT 7ª Região.
Criminal,Lesão Corporal,2ª Vara Criminal de São Paulo,TJSP,Juiz Laura Almeida,2023-09-10,2024-03-10,Procedente,SIM,NÃO,O juiz Juiz Laura Almeida julgou procedente o processo de lesão corporal na vara 2ª Vara Criminal de São Paulo do foro TJSP.
Cível,Cobrança,1ª Vara Cível de Recife,TJPE,Juiz Marcos Santos,2023-10-15,2024-04-15,Procedente,SIM,NÃO,O juiz Juiz Marcos Santos julgou procedente o processo de cobrança na vara 1ª Vara Cível de Recife do foro TJPE.
Criminal,Furto,3ª Vara Criminal de São Paulo,TJSP,Juiz Ana Souza,2021-01-01,2021-07-01,Procedente,SIM,NÃO,O juiz Juiz Ana Souza julgou procedente o processo de furto na vara 3ª Vara Criminal de São Paulo do foro TJSP.
Trabalhista,Acidente de Trabalho,2ª Vara do Trabalho de Belo Horizonte,TRT 3ª Região,Juiz José Silva,2021-02-15,2021-09-15,Improcedente,NÃO,SIM,O juiz Juiz José Silva julgou improcedente o processo de acidente de trabalho na vara 2ª Vara do Trabalho de Belo Horizonte do foro TRT 3ª Região.
Cível,Ação de Despejo,1ª Vara Cível de Curitiba,TJPR,Juiz Maria Santos,2021-03-20,2021-10-20,Procedente,SIM,NÃO,O juiz Juiz Maria Santos julgou procedente o processo de ação de despejo na vara 1ª Vara Cível de Curitiba do foro TJPR.
Criminal,Tráfico de Drogas,1ª Vara Criminal de Brasília,TJDFT,Juiz Paulo Souza,2021-04-30,2021-11-30,Improcedente,NÃO,SIM,O juiz Juiz Paulo Souza julgou improcedente o processo de tráfico de drogas na vara 1ª Vara Criminal de Brasília do foro TJDFT.
Trabalhista,Reclamação Trabalhista,2ª Vara do Trabalho de São Paulo,TRT 2ª Região,Juiz João Oliveira,2021-05-10,2022-01-10,Procedente,SIM,NÃO,O juiz Juiz João Oliveira julgou procedente o processo de reclamação trabalhista na vara 2ª Vara do Trabalho de São Paulo do foro TRT 2ª Região.
Cível,Ação de Cobrança,2ª Vara Cível de Porto Alegre,TJRS,Juiz Carlos Dias,2021-06-15,2022-02-15,Procedente,SIM,NÃO,O juiz Juiz Carlos Dias julgou procedente o processo de ação de cobrança na vara 2ª Vara Cível de Porto Alegre do foro TJRS.
Criminal,Tentativa de Homicídio,1ª Vara Criminal de Salvador,TJBA,Juiz Laura Pereira,2021-07-20,2022-03-20,Improcedente,NÃO,SIM,O juiz Juiz Laura Pereira julgou improcedente o processo de tentativa de homicídio na vara 1ª Vara Criminal de Salvador do foro TJBA.
Trabalhista,Horas Extras,3ª Vara do Trabalho de Recife,TRT 6ª Região,Juiz André Santos,2021-08-30,2022-04-30,Procedente,SIM,NÃO,O juiz Juiz André Santos julgou procedente o processo de horas extras na vara 3ª Vara do Trabalho de Recife do foro TRT 6ª Região.
Cível,Execução de Título Extrajudicial,1ª Vara Cível de Fortaleza,TJCE,Juiz Ana Silva,2021-09-10,2022-05-10,Procedente,SIM,NÃO,O juiz Juiz Ana Silva julgou procedente o processo de execução de título extrajudicial na vara 1ª Vara Cível de Fortaleza do foro TJCE.
Criminal,Lesão Corporal,2ª Vara Criminal de Belo Horizonte,TJMG,Juiz Pedro Lima,2021-10-15,2022-06-15,Procedente,SIM,NÃO,O juiz Juiz Pedro Lima julgou procedente o processo de lesão corporal na vara 2ª Vara Criminal de Belo Horizonte do foro TJMG.
Trabalhista,Indenização por Acidente de Trabalho,1ª Vara do Trabalho de São Paulo,TRT 2ª Região,Juiz João Silva,2022-01-01,2022-08-01,Procedente,SIM,NÃO,O juiz Juiz João Silva julgou procedente o processo de indenização por acidente de trabalho na vara 1ª Vara do Trabalho de São Paulo do foro TRT 2ª Região.
Cível,Cumprimento de Sentença,2ª Vara Cível de Belo Horizonte,TJMG,Juiz Maria Santos,2022-02-15,2022-10-15,Improcedente,NÃO,SIM,O juiz Juiz Maria Santos julgou improcedente o processo de cumprimento de sentença na vara 2ª Vara Cível de Belo Horizonte do foro TJMG.
Criminal,Tráfico de Drogas,3ª Vara Criminal de Curitiba,TJPR,Juiz Paulo Souza,2022-03-20,2022-11-20,Procedente,SIM,NÃO,O juiz Juiz Paulo Souza julgou procedente o processo de tráfico de drogas na vara 3ª Vara Criminal de Curitiba do foro TJPR.
